<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IRKT;D;20211122;23.1800000;23.1800000;22.5400000;22.8200000;77500
IRKT;D;20211123;22.7400000;23.0000000;22.5000000;22.7400000;201000
IRKT;D;20211124;22.8200000;23.3400000;22.8200000;22.9600000;78400
IRKT;D;20211125;23.1000000;23.1000000;22.5400000;22.8400000;55400
IRKT;D;20211126;22.8000000;22.8000000;22.0600000;22.4200000;108700
IRKT;D;20211129;22.6000000;22.6800000;21.1000000;22.1000000;231700
IRKT;D;20211130;21.8400000;22.0800000;21.5000000;21.7000000;122900
IRKT;D;20211201;21.7000000;21.9400000;21.4800000;21.7800000;72800
IRKT;D;20211202;21.8000000;21.8000000;21.5000000;21.6600000;62800
IRKT;D;20211203;21.8800000;21.8800000;21.6000000;21.6000000;36100
IRKT;D;20211206;21.7000000;21.7000000;21.2200000;21.3800000;63300
IRKT;D;20211207;21.4200000;21.5400000;21.2000000;21.3800000;26400
IRKT;D;20211208;21.3600000;21.7200000;21.3000000;21.3800000;28400
IRKT;D;20211209;21.5800000;21.6000000;21.2600000;21.3400000;43000
IRKT;D;20211210;21.5000000;21.5000000;21.2000000;21.4000000;42900
IRKT;D;20211213;21.2600000;21.3400000;19.5400000;20.0200000;385000
IRKT;D;20211214;19.8000000;20.4200000;19.7200000;20.0000000;90000
IRKT;D;20211215;20.0400000;23.5800000;19.5200000;21.0200000;368200
IRKT;D;20211216;21.4800000;22.8600000;21.2000000;22.0000000;241500
IRKT;D;20211217;21.8400000;21.8600000;21.0400000;21.4400000;122900
IRKT;D;20211220;21.4000000;21.8800000;21.2600000;21.2800000;57900
IRKT;D;20211221;21.5200000;21.9600000;21.4600000;21.4800000;51100
IRKT;D;20211222;21.1200000;21.6000000;20.8000000;21.1200000;64400
IRKT;D;20211223;21.4200000;21.4200000;20.7400000;20.9800000;55000
IRKT;D;20211224;20.9800000;23.9600000;20.8800000;23.0400000;408000
IRKT;D;20211227;23.1000000;24.1800000;22.9200000;23.2400000;649000
IRKT;D;20211228;23.2600000;23.2600000;22.3200000;22.7800000;203900
IRKT;D;20211229;22.7800000;22.9200000;22.2000000;22.7000000;82000
IRKT;D;20211230;22.7800000;22.8400000;21.9800000;22.2800000;95400
IRKT;D;20220103;22.0600000;22.7800000;22.0400000;22.2600000;40100
IRKT;D;20220104;22.2800000;22.9400000;22.2800000;22.5000000;58000
IRKT;D;20220105;22.9400000;22.9400000;22.0400000;22.2000000;49400
