<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;20211122;6015.5000000;6100.0000000;5749.0000000;5789.5000000;900867
MGNT;D;20211123;5740.5000000;5919.0000000;5620.0000000;5917.0000000;742777
MGNT;D;20211124;5927.0000000;5973.0000000;5789.0000000;5875.0000000;535221
MGNT;D;20211125;5932.5000000;6081.5000000;5880.0000000;6056.0000000;433085
MGNT;D;20211126;5973.5000000;5973.5000000;5740.5000000;5775.5000000;544676
MGNT;D;20211129;5832.5000000;5914.0000000;5802.0000000;5898.5000000;425202
MGNT;D;20211130;5860.0000000;5978.0000000;5698.0000000;5733.0000000;588733
MGNT;D;20211201;5754.0000000;5889.0000000;5728.0000000;5768.0000000;432481
MGNT;D;20211202;5780.0000000;5824.0000000;5736.0000000;5789.0000000;267767
MGNT;D;20211203;5803.0000000;5823.5000000;5693.5000000;5715.5000000;207500
MGNT;D;20211206;5745.0000000;5794.0000000;5603.0000000;5650.0000000;295388
MGNT;D;20211207;5675.0000000;5850.0000000;5619.5000000;5841.5000000;319388
MGNT;D;20211208;5850.0000000;5907.0000000;5680.0000000;5765.0000000;302496
MGNT;D;20211209;5775.0000000;5949.5000000;5755.0000000;5908.0000000;376811
MGNT;D;20211210;5915.0000000;5958.0000000;5770.5000000;5822.5000000;249378
MGNT;D;20211213;5823.0000000;5892.5000000;5600.0000000;5637.0000000;364303
MGNT;D;20211214;5637.0000000;5731.5000000;5264.5000000;5670.0000000;415271
MGNT;D;20211215;5688.5000000;5728.5000000;5580.0000000;5700.0000000;318723
MGNT;D;20211216;5700.0000000;5846.0000000;5683.5000000;5752.0000000;557711
MGNT;D;20211217;5759.5000000;5776.5000000;5611.5000000;5674.5000000;346340
MGNT;D;20211220;5657.5000000;5658.5000000;5492.5000000;5533.5000000;279999
MGNT;D;20211221;5559.5000000;5600.0000000;5483.0000000;5521.5000000;327690
MGNT;D;20211222;5541.5000000;5598.0000000;5501.5000000;5551.0000000;311777
MGNT;D;20211223;5551.5000000;5612.0000000;5505.0000000;5538.5000000;320871
MGNT;D;20211224;5543.5000000;5629.0000000;5505.0000000;5592.5000000;175935
MGNT;D;20211227;5612.5000000;5685.0000000;5600.0000000;5665.5000000;359711
MGNT;D;20211228;5670.0000000;5679.5000000;5602.0000000;5658.0000000;500337
MGNT;D;20211229;5401.0000000;5466.5000000;5378.0000000;5446.0000000;470799
MGNT;D;20211230;5445.0000000;5488.0000000;5409.0000000;5444.0000000;270527
MGNT;D;20220103;5461.5000000;5549.0000000;5440.5000000;5509.5000000;188883
MGNT;D;20220104;5509.5000000;5578.0000000;5493.5000000;5565.0000000;215745
MGNT;D;20220105;5570.0000000;5602.5000000;5370.0000000;5399.0000000;202620
MGNT;D;20220106;5390.0000000;5555.0000000;5360.0000000;5535.0000000;215082
MGNT;D;20220110;5538.0000000;5584.5000000;5424.0000000;5473.0000000;231465
MGNT;D;20220111;5475.0000000;5563.0000000;5460.0000000;5505.5000000;188782
MGNT;D;20220112;5529.0000000;5642.5000000;5480.0000000;5623.0000000;355621
MGNT;D;20220113;5609.0000000;5640.0000000;5250.0000000;5330.0000000;667823
MGNT;D;20220114;5353.5000000;5399.0000000;5106.0000000;5235.5000000;839771
MGNT;D;20220117;5235.0000000;5297.0000000;5141.5000000;5185.5000000;500397
MGNT;D;20220118;5206.0000000;5226.5000000;4770.0000000;4973.0000000;860969
MGNT;D;20220119;5000.0000000;5149.5000000;4791.5000000;5040.0000000;750621
MGNT;D;20220120;5042.5000000;5175.0000000;4982.0000000;4991.0000000;437643
MGNT;D;20220121;4980.0000000;5137.5000000;4921.5000000;5046.5000000;549929
MGNT;D;20220124;5060.0000000;5090.0000000;4667.0000000;4823.5000000;900705
MGNT;D;20220125;4823.5000000;4909.0000000;4651.0000000;4895.0000000;619959
MGNT;D;20220126;4897.0000000;4924.0000000;4733.0000000;4768.5000000;508943
MGNT;D;20220127;4736.0000000;4997.5000000;4714.5000000;4883.5000000;668361
MGNT;D;20220128;4890.0000000;4968.0000000;4816.5000000;4904.0000000;467413
MGNT;D;20220131;4931.0000000;5079.0000000;4921.5000000;5079.0000000;287546
MGNT;D;20220201;5079.0000000;5117.0000000;5012.0000000;5114.0000000;390602
MGNT;D;20220202;5115.0000000;5225.0000000;5106.0000000;5200.0000000;378878
MGNT;D;20220203;5200.0000000;5278.0000000;5125.0000000;5187.0000000;556896
MGNT;D;20220204;5195.0000000;5384.5000000;5176.0000000;5285.0000000;740012
MGNT;D;20220207;5300.5000000;5357.0000000;5153.0000000;5210.0000000;368050
MGNT;D;20220208;5216.5000000;5229.0000000;5164.5000000;5182.0000000;407416
MGNT;D;20220209;5194.0000000;5276.5000000;5182.5000000;5254.0000000;436568
MGNT;D;20220210;5265.0000000;5269.0000000;5197.0000000;5227.5000000;310998
MGNT;D;20220211;5220.0000000;5224.0000000;4925.5000000;4971.5000000;595991
MGNT;D;20220214;4964.5000000;5045.5000000;4770.0000000;4956.5000000;542386
MGNT;D;20220215;4975.0000000;5260.5000000;4971.5000000;5239.0000000;480608
MGNT;D;20220216;5260.0000000;5450.0000000;5191.0000000;5395.0000000;529553
MGNT;D;20220217;5395.0000000;5402.5000000;5187.0000000;5224.5000000;567731
MGNT;D;20220218;5220.5000000;5284.5000000;4996.0000000;5041.5000000;572652
MGNT;D;20220221;5041.0000000;5186.0000000;4021.0000000;4240.0000000;1586697
MGNT;D;20220222;4180.0000000;4660.0000000;4000.5000000;4600.0000000;1540082
MGNT;D;20220224;4025.0000000;4300.0000000;2414.0000000;3312.0000000;1561177
MGNT;D;20220225;3236.0000000;3840.0000000;3100.0000000;3202.0000000;1257392
MGNT;D;20220324;3202.0000000;4100.0000000;3200.0000000;3457.5000000;575283
MGNT;D;20220325;3611.0000000;3780.0000000;3286.5000000;3338.0000000;238079
MGNT;D;20220328;3414.5000000;3490.0000000;3330.0000000;3337.5000000;122271
MGNT;D;20220329;3351.0000000;3669.0000000;3330.0000000;3405.5000000;270307
MGNT;D;20220330;3600.5000000;3855.0000000;3450.0000000;3855.0000000;206118
MGNT;D;20220331;3920.0000000;4272.0000000;3884.0000000;4155.0000000;315835
MGNT;D;20220401;4185.0000000;4429.0000000;4155.0000000;4220.0000000;259172
MGNT;D;20220404;4370.0000000;4395.0000000;4201.0000000;4273.5000000;141116
MGNT;D;20220405;4299.5000000;4300.0000000;3901.0000000;4098.0000000;121289
MGNT;D;20220406;4087.0000000;4195.0000000;3950.0000000;4120.0000000;102927
MGNT;D;20220407;4120.5000000;4250.0000000;4120.0000000;4247.0000000;96710
MGNT;D;20220408;4251.0000000;4422.0000000;4222.0000000;4335.0000000;209714
MGNT;D;20220411;4367.0000000;4405.0000000;4250.0000000;4310.0000000;95052
MGNT;D;20220412;4316.5000000;4420.0000000;4251.5000000;4297.5000000;176142
MGNT;D;20220413;4299.0000000;4340.0000000;4216.0000000;4256.5000000;65483
MGNT;D;20220414;4256.5000000;4262.5000000;3980.0000000;4017.0000000;127874
MGNT;D;20220415;4020.0000000;4145.0000000;3902.0000000;4070.5000000;89798
MGNT;D;20220418;4109.0000000;4156.5000000;3963.0000000;4000.0000000;84321
MGNT;D;20220419;4000.0000000;4038.5000000;3850.0000000;4038.0000000;136758
MGNT;D;20220420;4054.0000000;4300.0000000;3962.5000000;4300.0000000;95466
