<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.CBOM:SMAL;D;20211123;6.5190000;6.5500000;6.5190000;6.5500000;99
MOEX.CBOM:SMAL;D;20211129;6.4860000;6.4860000;6.4860000;6.4860000;92
MOEX.CBOM:SMAL;D;20211130;6.5410000;6.5410000;6.5410000;6.5410000;20
MOEX.CBOM:SMAL;D;20211202;6.9990000;6.9990000;6.9990000;6.9990000;23
MOEX.CBOM:SMAL;D;20211203;6.5880000;6.5880000;6.5880000;6.5880000;41
MOEX.CBOM:SMAL;D;20211206;7.2900000;7.2900000;6.3430000;6.3430000;48
MOEX.CBOM:SMAL;D;20211207;6.3630000;6.9000000;6.3630000;6.9000000;44
MOEX.CBOM:SMAL;D;20211208;6.5000000;6.5000000;6.5000000;6.5000000;1
MOEX.CBOM:SMAL;D;20211209;6.3510000;6.3510000;6.3510000;6.3510000;92
MOEX.CBOM:SMAL;D;20211213;6.3250000;6.3250000;6.2840000;6.2840000;71
MOEX.CBOM:SMAL;D;20211214;6.6000000;6.6000000;6.1510000;6.1610000;111
MOEX.CBOM:SMAL;D;20211217;6.8000000;6.8000000;6.8000000;6.8000000;1
MOEX.CBOM:SMAL;D;20211220;6.3900000;6.8000000;6.3900000;6.8000000;40
MOEX.CBOM:SMAL;D;20211221;6.3390000;6.3390000;6.3330000;6.3330000;27
MOEX.CBOM:SMAL;D;20211227;6.8000000;6.8000000;6.4760000;6.4760000;7
MOEX.CBOM:SMAL;D;20211228;6.5650000;6.6400000;6.5650000;6.6400000;144
MOEX.CBOM:SMAL;D;20220103;6.7680000;6.7680000;6.7680000;6.7680000;93
MOEX.CBOM:SMAL;D;20220104;6.9070000;6.9070000;6.9070000;6.9070000;3
MOEX.CBOM:SMAL;D;20220113;7.0820000;7.0820000;6.5180000;6.5180000;60
MOEX.CBOM:SMAL;D;20220114;7.2910000;7.2910000;6.9000000;6.9000000;56
MOEX.CBOM:SMAL;D;20220118;7.2900000;7.2900000;7.2900000;7.2900000;1
MOEX.CBOM:SMAL;D;20220124;7.0750000;7.1000000;6.5940000;7.1000000;112
MOEX.CBOM:SMAL;D;20220126;7.1000000;7.1000000;7.1000000;7.1000000;2
MOEX.CBOM:SMAL;D;20220128;6.8220000;7.2900000;6.4610000;7.2900000;215
MOEX.CBOM:SMAL;D;20220131;7.2900000;7.2900000;7.0910000;7.0910000;159
MOEX.CBOM:SMAL;D;20220201;7.4290000;7.4290000;6.9900000;6.9920000;170
MOEX.CBOM:SMAL;D;20220202;7.4290000;7.4290000;6.8210000;6.8210000;105
MOEX.CBOM:SMAL;D;20220207;6.8080000;6.8080000;6.8080000;6.8080000;12
MOEX.CBOM:SMAL;D;20220209;6.8960000;6.8960000;6.7980000;6.7980000;90
MOEX.CBOM:SMAL;D;20220210;7.1990000;7.1990000;7.1990000;7.1990000;1
MOEX.CBOM:SMAL;D;20220211;6.6480000;7.4280000;6.3040000;7.4280000;94
MOEX.CBOM:SMAL;D;20220214;6.5400000;6.5400000;6.4990000;6.4990000;6
MOEX.CBOM:SMAL;D;20220216;6.6500000;6.6500000;6.6010000;6.6010000;50
MOEX.CBOM:SMAL;D;20220217;6.5880000;7.4280000;6.5880000;7.4280000;27
MOEX.CBOM:SMAL;D;20220218;7.2390000;7.2390000;7.2390000;7.2390000;1
MOEX.CBOM:SMAL;D;20220329;4.2430000;6.3700000;4.2430000;6.3700000;53
MOEX.CBOM:SMAL;D;20220331;6.7500000;6.7500000;6.7500000;6.7500000;1
MOEX.CBOM:SMAL;D;20220401;6.9200000;6.9200000;6.9200000;6.9200000;1
MOEX.CBOM:SMAL;D;20220405;4.6710000;4.8710000;4.6710000;4.8710000;117
MOEX.CBOM:SMAL;D;20220406;5.6000000;5.6000000;5.5010000;5.5010000;19
MOEX.CBOM:SMAL;D;20220411;5.5980000;6.0310000;5.5980000;6.0250000;3
MOEX.CBOM:SMAL;D;20220414;5.1900000;6.0670000;5.1900000;6.0670000;79
MOEX.CBOM:SMAL;D;20220418;5.8450000;5.8450000;5.8450000;5.8450000;1
MOEX.CBOM:SMAL;D;20220419;4.7120000;4.7120000;4.5660000;4.5660000;35
MOEX.CBOM:SMAL;D;20220420;5.6870000;5.6870000;5.6570000;5.6570000;3
MOEX.CBOM:SMAL;D;20220421;5.4950000;5.4950000;5.4870000;5.4870000;15
MOEX.CBOM:SMAL;D;20220422;4.5540000;4.5540000;4.3650000;4.3650000;55
MOEX.CBOM:SMAL;D;20220425;4.6020000;4.6020000;4.4100000;4.4100000;73
MOEX.CBOM:SMAL;D;20220426;4.9950000;5.0580000;4.9950000;5.0580000;10
MOEX.CBOM:SMAL;D;20220427;5.2100000;5.2100000;5.2100000;5.2100000;99
MOEX.CBOM:SMAL;D;20220428;5.4000000;5.4000000;5.2010000;5.2010000;13
MOEX.CBOM:SMAL;D;20220504;5.2360000;5.2360000;5.1060000;5.1060000;65
MOEX.CBOM:SMAL;D;20220511;5.8700000;5.8700000;5.8700000;5.8700000;10
MOEX.CBOM:SMAL;D;20220512;5.4990000;5.8390000;5.1320000;5.8390000;69
MOEX.CBOM:SMAL;D;20220518;5.5470000;5.5470000;5.5470000;5.5470000;92
MOEX.CBOM:SMAL;D;20220527;5.8970000;5.8970000;5.3220000;5.7930000;96
MOEX.CBOM:SMAL;D;20220531;5.8760000;5.8760000;5.8760000;5.8760000;1
MOEX.CBOM:SMAL;D;20220602;5.8830000;5.8830000;5.8830000;5.8830000;1
MOEX.CBOM:SMAL;D;20220603;5.8520000;5.8520000;5.8520000;5.8520000;1
MOEX.CBOM:SMAL;D;20220606;5.8730000;5.8730000;5.8730000;5.8730000;1
MOEX.CBOM:SMAL;D;20220608;5.8850000;5.8850000;5.8850000;5.8850000;1
MOEX.CBOM:SMAL;D;20220617;5.5100000;5.5100000;5.5050000;5.5050000;23
MOEX.CBOM:SMAL;D;20220620;5.4000000;5.4000000;5.4000000;5.4000000;1
MOEX.CBOM:SMAL;D;20220628;5.1040000;5.1040000;4.8040000;4.8040000;34
MOEX.CBOM:SMAL;D;20220629;5.3850000;5.3850000;5.3850000;5.3850000;5
MOEX.CBOM:SMAL;D;20220706;5.4840000;5.4840000;5.4840000;5.4840000;3
MOEX.CBOM:SMAL;D;20220711;5.4090000;5.4090000;5.4090000;5.4090000;1
MOEX.CBOM:SMAL;D;20220712;5.4090000;5.4090000;5.4090000;5.4090000;1
MOEX.CBOM:SMAL;D;20220714;4.2150000;5.2000000;4.2150000;5.2000000;46
MOEX.CBOM:SMAL;D;20220719;3.6550000;3.6550000;3.6550000;3.6550000;1
