<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.DIOD:SMAL;D;20211209;7.5000000;7.5000000;7.5000000;7.5000000;1
MOEX.DIOD:SMAL;D;20211213;11.3300000;11.3300000;11.3300000;11.3300000;2
MOEX.DIOD:SMAL;D;20211216;11.2000000;11.2000000;11.2000000;11.2000000;4
MOEX.DIOD:SMAL;D;20220118;4.8000000;4.8000000;4.8000000;4.8000000;45
MOEX.DIOD:SMAL;D;20220119;10.9000000;10.9000000;10.9000000;10.9000000;11
MOEX.DIOD:SMAL;D;20220207;10.6000000;10.6000000;10.6000000;10.6000000;4
MOEX.DIOD:SMAL;D;20220208;10.6000000;10.6000000;10.6000000;10.6000000;1
MOEX.DIOD:SMAL;D;20220209;10.7800000;10.7800000;10.7800000;10.7800000;1
MOEX.DIOD:SMAL;D;20220210;10.7700000;10.7700000;10.7700000;10.7700000;1
MOEX.DIOD:SMAL;D;20220211;10.8600000;10.8600000;10.8600000;10.8600000;1
MOEX.DIOD:SMAL;D;20220215;10.7900000;10.7900000;10.7900000;10.7900000;1
MOEX.DIOD:SMAL;D;20220217;10.8000000;10.8000000;10.8000000;10.8000000;1
MOEX.DIOD:SMAL;D;20220221;7.6000000;7.6000000;6.3000000;6.3000000;100
MOEX.DIOD:SMAL;D;20220225;8.2400000;8.2400000;8.2400000;8.2400000;1
MOEX.DIOD:SMAL;D;20220411;10.5400000;10.5400000;10.5400000;10.5400000;1
MOEX.DIOD:SMAL;D;20220413;10.9100000;10.9100000;10.9100000;10.9100000;3
MOEX.DIOD:SMAL;D;20220414;7.6400000;7.6400000;7.6400000;7.6400000;36
MOEX.DIOD:SMAL;D;20220415;10.6200000;10.6200000;10.6200000;10.6200000;1
MOEX.DIOD:SMAL;D;20220429;7.0100000;7.0100000;7.0100000;7.0100000;49
MOEX.DIOD:SMAL;D;20220513;9.7000000;9.7000000;4.1700000;4.1700000;67
MOEX.DIOD:SMAL;D;20220602;11.3600000;11.3600000;11.3600000;11.3600000;2
MOEX.DIOD:SMAL;D;20220607;11.4000000;11.4000000;11.4000000;11.4000000;10
MOEX.DIOD:SMAL;D;20220608;11.3800000;11.3800000;11.3800000;11.3800000;10
MOEX.DIOD:SMAL;D;20220609;4.8800000;4.8800000;4.8800000;4.8800000;1
MOEX.DIOD:SMAL;D;20220628;11.9000000;11.9000000;11.9000000;11.9000000;1
MOEX.DIOD:SMAL;D;20220630;8.5000000;8.5000000;8.5000000;8.5000000;1
MOEX.DIOD:SMAL;D;20220722;9.9900000;9.9900000;9.9900000;9.9900000;8
MOEX.DIOD:SMAL;D;20220727;10.1200000;10.1200000;10.1200000;10.1200000;2
MOEX.DIOD:SMAL;D;20220907;10.7000000;10.7000000;10.7000000;10.7000000;2
MOEX.DIOD:SMAL;D;20221012;9.7300000;9.7300000;9.7300000;9.7300000;10
MOEX.DIOD:SMAL;D;20221028;10.1000000;10.1000000;10.1000000;10.1000000;1
MOEX.DIOD:SMAL;D;20221110;6.4500000;6.4500000;6.0700000;6.0700000;20
