<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.DSKY:SMAL;D;20211122;134.0200000;137.3800000;134.0200000;137.3800000;5
MOEX.DSKY:SMAL;D;20211123;135.0000000;135.0000000;124.0400000;124.0400000;7
MOEX.DSKY:SMAL;D;20211124;134.5200000;134.6200000;134.5200000;134.6200000;10
MOEX.DSKY:SMAL;D;20211125;135.0200000;137.0200000;135.0200000;137.0200000;11
MOEX.DSKY:SMAL;D;20211126;144.9800000;144.9800000;144.9800000;144.9800000;3
MOEX.DSKY:SMAL;D;20211130;137.0000000;137.0000000;137.0000000;137.0000000;1
MOEX.DSKY:SMAL;D;20211201;138.0200000;140.1200000;136.0200000;136.0200000;16
MOEX.DSKY:SMAL;D;20211202;148.9800000;148.9800000;135.0200000;135.0200000;5
MOEX.DSKY:SMAL;D;20211203;153.9800000;153.9800000;153.9800000;153.9800000;1
MOEX.DSKY:SMAL;D;20211206;137.6000000;137.6000000;135.0000000;135.0000000;3
MOEX.DSKY:SMAL;D;20211207;132.0600000;151.6800000;132.0600000;151.6800000;9
MOEX.DSKY:SMAL;D;20211209;133.2000000;150.3200000;129.7000000;150.3200000;10
MOEX.DSKY:SMAL;D;20211210;130.4000000;146.1400000;127.0800000;127.4600000;25
MOEX.DSKY:SMAL;D;20211213;128.3000000;129.0000000;118.2600000;121.7000000;19
MOEX.DSKY:SMAL;D;20211214;122.0000000;135.6600000;119.0000000;119.0000000;12
MOEX.DSKY:SMAL;D;20211215;118.2400000;128.7200000;118.2400000;125.0000000;5
MOEX.DSKY:SMAL;D;20211216;125.0200000;134.9800000;125.0200000;134.9800000;4
MOEX.DSKY:SMAL;D;20211217;128.0000000;142.2000000;126.7000000;126.7000000;10
MOEX.DSKY:SMAL;D;20211220;126.0200000;143.5200000;126.0200000;143.5200000;23
MOEX.DSKY:SMAL;D;20211221;132.4800000;132.4800000;132.4000000;132.4000000;2
MOEX.DSKY:SMAL;D;20211222;125.0400000;135.9600000;125.0400000;135.9600000;13
MOEX.DSKY:SMAL;D;20211223;126.0000000;126.0000000;121.0400000;124.2000000;8
MOEX.DSKY:SMAL;D;20211224;124.6000000;124.6000000;124.5000000;124.5000000;6
