<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;20211122;161.5000000;162.4700000;151.6000000;154.3500000;19087910
MOEX;D;20211123;154.3500000;159.4500000;151.0000000;159.4500000;17911820
MOEX;D;20211124;160.1000000;162.9600000;153.0100000;154.2500000;19652390
MOEX;D;20211125;154.5300000;157.6200000;154.1500000;156.3300000;8638460
MOEX;D;20211126;153.3000000;154.2700000;149.5000000;150.0500000;11816940
MOEX;D;20211129;151.9100000;154.1300000;151.2000000;152.0700000;8442950
MOEX;D;20211130;150.0300000;153.5900000;148.7400000;151.1500000;19217950
MOEX;D;20211201;152.8200000;159.1400000;152.3500000;157.2100000;14537420
MOEX;D;20211202;157.9000000;161.4600000;157.2200000;161.0000000;11516670
MOEX;D;20211203;162.1800000;163.4200000;157.0000000;157.8000000;14001530
MOEX;D;20211206;158.4900000;160.0000000;154.0000000;156.7000000;7302290
MOEX;D;20211207;156.7000000;160.6200000;152.8000000;160.2400000;12235630
MOEX;D;20211208;160.2600000;161.9900000;155.1500000;156.5000000;8337460
MOEX;D;20211209;157.0200000;157.6300000;153.5400000;154.2200000;7114230
MOEX;D;20211210;154.4000000;154.7400000;150.7500000;152.5300000;5902250
MOEX;D;20211213;152.2400000;153.9400000;147.2200000;148.1500000;9695760
MOEX;D;20211214;147.9100000;149.5000000;138.7300000;148.0600000;12752420
MOEX;D;20211215;148.1100000;149.8700000;144.6000000;147.0000000;12598640
MOEX;D;20211216;147.3000000;149.4900000;146.4000000;147.7500000;13357690
MOEX;D;20211217;147.5100000;148.7900000;144.7000000;147.4800000;14051230
MOEX;D;20211220;147.3000000;147.3000000;143.6400000;145.7200000;8909190
MOEX;D;20211221;146.0000000;146.8000000;144.2700000;145.3000000;5938490
MOEX;D;20211222;145.4800000;148.0000000;144.5700000;146.7000000;6101130
MOEX;D;20211223;147.3300000;150.3700000;146.5100000;149.1900000;9933320
MOEX;D;20211224;149.7100000;152.9700000;148.1100000;149.5300000;6319590
MOEX;D;20211227;149.5500000;153.5200000;149.5300000;151.7000000;7256520
MOEX;D;20211228;152.1900000;153.3400000;151.2700000;151.4200000;7215620
MOEX;D;20211229;151.8400000;152.5900000;150.8000000;152.5700000;5271050
MOEX;D;20211230;152.6400000;153.6700000;152.1000000;153.2200000;5319850
MOEX;D;20220103;153.6200000;156.8800000;153.3000000;156.4600000;3937170
MOEX;D;20220104;157.3700000;158.9400000;155.1100000;155.9500000;7437800
MOEX;D;20220105;156.0100000;157.7000000;148.0300000;148.2400000;10794190
MOEX;D;20220106;149.0000000;151.6600000;146.4000000;149.0200000;10596370
MOEX;D;20220110;149.0200000;150.9800000;142.7700000;145.3000000;13598460
MOEX;D;20220111;145.8600000;150.9200000;145.2300000;150.0300000;12566770
MOEX;D;20220112;150.2600000;151.6200000;147.7200000;151.3800000;9701580
MOEX;D;20220113;151.0900000;152.4700000;145.2000000;147.6500000;13781330
MOEX;D;20220114;148.0000000;149.2500000;137.5700000;144.2700000;26874470
MOEX;D;20220117;144.4500000;145.2400000;136.7000000;139.3200000;23172430
MOEX;D;20220118;139.9700000;139.9800000;128.4400000;132.0000000;30126990
MOEX;D;20220119;133.4300000;140.8000000;124.5000000;138.6400000;27393510
MOEX;D;20220120;138.6400000;147.2100000;137.7500000;144.0000000;21942390
MOEX;D;20220121;143.8400000;148.9300000;141.2300000;145.9800000;20543350
MOEX;D;20220124;146.5500000;147.0900000;137.0000000;143.3300000;26106290
MOEX;D;20220125;143.4000000;145.7000000;138.8000000;142.8400000;19063290
MOEX;D;20220126;144.2500000;146.8800000;139.3200000;141.2200000;16295710
MOEX;D;20220127;140.7100000;147.8000000;140.1000000;144.9100000;14852520
MOEX;D;20220128;145.4800000;147.4000000;142.0500000;144.4000000;10288860
MOEX;D;20220131;145.4500000;146.5000000;143.5100000;145.0500000;9539030
MOEX;D;20220201;145.0500000;146.3400000;143.6500000;145.5700000;7456700
MOEX;D;20220202;145.5500000;146.0000000;141.2100000;142.9000000;10490310
MOEX;D;20220203;142.4600000;142.5000000;136.7900000;137.6900000;12342500
MOEX;D;20220204;138.5400000;141.4300000;137.7700000;141.0900000;11176440
MOEX;D;20220207;140.0200000;142.1600000;139.8800000;141.5900000;5674850
MOEX;D;20220208;141.7700000;143.9400000;140.6500000;142.0500000;9790760
MOEX;D;20220209;142.3000000;143.5800000;141.2800000;142.1900000;12337020
MOEX;D;20220210;142.4300000;142.8000000;139.6600000;140.0600000;13384660
MOEX;D;20220211;140.0600000;140.6400000;135.4000000;136.2000000;13340670
MOEX;D;20220214;135.9400000;137.5700000;131.4400000;134.4900000;20187260
MOEX;D;20220215;135.1000000;138.1800000;133.8100000;137.5000000;17728520
MOEX;D;20220216;137.4800000;141.9000000;136.5500000;141.8900000;18239920
MOEX;D;20220217;141.0000000;141.5300000;135.8500000;137.4900000;17747280
MOEX;D;20220218;138.4800000;139.4300000;132.1600000;133.1600000;15903510
MOEX;D;20220221;132.4100000;135.8900000;110.0000000;118.7800000;46463100
MOEX;D;20220222;114.9400000;120.3000000;108.8500000;115.7900000;77150860
