<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTSS;D;20211122;309.1000000;311.8000000;305.1500000;305.2000000;7280020
MTSS;D;20211123;305.0500000;309.4000000;301.7000000;307.4500000;5540080
MTSS;D;20211124;308.4500000;308.8500000;303.5500000;305.5000000;2809710
MTSS;D;20211125;305.7500000;307.3000000;304.1000000;306.0500000;1401110
MTSS;D;20211126;304.3000000;304.9000000;298.0000000;299.0500000;5947670
MTSS;D;20211129;301.0000000;301.6000000;294.8000000;296.5000000;5030820
MTSS;D;20211130;295.8000000;296.0000000;291.0000000;293.7500000;4411800
MTSS;D;20211201;294.1500000;300.0000000;294.1000000;296.4500000;2479110
MTSS;D;20211202;297.9500000;298.4000000;294.8000000;297.8500000;2140350
MTSS;D;20211203;298.0500000;298.3500000;294.1500000;295.1000000;1985070
MTSS;D;20211206;295.2500000;300.6000000;290.3500000;293.8500000;2339860
MTSS;D;20211207;293.8500000;294.9500000;289.5500000;291.4500000;3115520
MTSS;D;20211208;291.5000000;294.1500000;287.0500000;290.1000000;4351310
MTSS;D;20211209;291.0000000;291.3000000;287.5500000;288.4500000;2745850
MTSS;D;20211210;288.5000000;290.6500000;285.1500000;287.0500000;4897940
MTSS;D;20211213;288.6000000;289.2000000;276.5500000;277.4500000;5643010
MTSS;D;20211214;278.0000000;280.1000000;265.7000000;276.2500000;4925680
MTSS;D;20211215;277.9500000;284.5000000;276.2500000;279.8500000;5620070
MTSS;D;20211216;279.9500000;287.7000000;278.1000000;286.9500000;6936700
MTSS;D;20211217;287.0000000;292.0500000;285.0000000;289.4000000;6363890
MTSS;D;20211220;289.4000000;291.3000000;285.1500000;290.4000000;3275260
MTSS;D;20211221;290.4500000;291.7500000;288.2000000;290.0500000;4262260
MTSS;D;20211222;290.1000000;295.4000000;289.5500000;291.2500000;2965430
MTSS;D;20211223;291.2000000;292.7500000;289.7000000;290.5500000;1466640
MTSS;D;20211224;290.5000000;292.0500000;287.2000000;290.7000000;1835430
MTSS;D;20211227;290.7000000;294.9500000;290.2000000;293.9500000;1973210
MTSS;D;20211228;294.4500000;297.2000000;293.0500000;295.6000000;2022600
MTSS;D;20211229;296.7000000;297.5500000;294.1000000;296.4000000;1418990
MTSS;D;20211230;296.4000000;298.9500000;295.5500000;298.9000000;1131710
MTSS;D;20220103;299.0000000;305.0000000;298.0500000;304.6500000;2093030
MTSS;D;20220104;304.6500000;306.5000000;302.8500000;304.9500000;1854220
MTSS;D;20220105;305.1500000;306.0000000;298.3000000;298.3000000;1840990
MTSS;D;20220106;298.0000000;300.6000000;295.3500000;299.2000000;2449240
MTSS;D;20220110;300.2000000;302.5000000;291.1000000;295.8500000;1808120
MTSS;D;20220111;295.7500000;297.5000000;293.5500000;296.2000000;1817570
MTSS;D;20220112;296.0000000;301.0000000;294.2000000;296.4500000;1837630
MTSS;D;20220113;296.4500000;298.3500000;287.9500000;291.6500000;3468750
MTSS;D;20220114;291.2500000;292.7000000;281.6000000;289.6500000;4603710
MTSS;D;20220117;289.5000000;291.4500000;276.1000000;281.7000000;5543820
MTSS;D;20220118;282.2000000;284.0000000;267.1000000;272.9500000;10115990
MTSS;D;20220119;273.1000000;286.7000000;267.0000000;274.8000000;8948650
MTSS;D;20220120;275.9000000;280.6500000;273.2000000;274.4000000;5290440
MTSS;D;20220121;274.1500000;279.7000000;272.0500000;273.4500000;4606200
MTSS;D;20220124;273.8000000;275.4500000;263.3000000;272.9500000;10598470
MTSS;D;20220125;271.5500000;279.5000000;268.2000000;279.4500000;5771900
MTSS;D;20220126;279.4500000;284.9000000;276.2500000;277.9000000;5605390
MTSS;D;20220127;277.8500000;289.0000000;275.0500000;278.4500000;6089890
MTSS;D;20220128;280.0000000;285.5500000;275.2000000;285.5500000;3495320
MTSS;D;20220131;286.1000000;292.0000000;286.0000000;287.4000000;4805940
MTSS;D;20220201;288.4500000;291.0000000;286.2500000;289.6000000;2440500
MTSS;D;20220202;289.7000000;290.9000000;285.5000000;285.8000000;2057660
MTSS;D;20220203;285.5000000;286.1500000;280.0000000;284.6000000;2046930
MTSS;D;20220204;284.7500000;288.3000000;281.5000000;283.2500000;1703930
MTSS;D;20220207;284.9500000;286.7000000;282.2500000;284.4500000;1036560
MTSS;D;20220208;283.6500000;290.1500000;283.5500000;289.7500000;1488950
MTSS;D;20220209;290.0000000;290.5000000;286.7500000;289.9000000;3587920
MTSS;D;20220210;289.9500000;294.9000000;283.6000000;293.4500000;4457650
MTSS;D;20220211;292.9500000;292.9500000;282.7000000;284.8000000;3350700
MTSS;D;20220214;283.5000000;286.7000000;276.5000000;280.8000000;5063360
MTSS;D;20220215;281.4500000;287.8500000;280.7000000;287.3000000;3278770
MTSS;D;20220216;286.9500000;291.6500000;286.0000000;287.4000000;2972110
MTSS;D;20220217;287.4000000;287.8000000;281.1000000;283.4500000;4539810
MTSS;D;20220218;284.9500000;286.9000000;271.3000000;272.8500000;5274510
MTSS;D;20220221;273.0000000;278.0000000;226.0000000;239.7500000;20241500
MTSS;D;20220222;235.4500000;263.9000000;219.5000000;260.8500000;16717910
MTSS;D;20220224;238.0000000;240.0000000;155.0000000;206.6500000;10822790
MTSS;D;20220225;205.0000000;247.8000000;205.0000000;217.5000000;6146110
MTSS;D;20220324;200.0000000;236.0000000;198.1500000;205.6000000;3077740
MTSS;D;20220325;206.9000000;208.2500000;188.2000000;190.6000000;3898530
MTSS;D;20220328;191.0000000;194.2000000;181.2000000;184.8000000;966300
MTSS;D;20220329;184.8000000;188.6500000;171.5000000;174.7000000;1988410
MTSS;D;20220330;177.2000000;235.0000000;177.2000000;233.0000000;3495200
MTSS;D;20220331;229.0000000;248.0000000;212.1500000;238.6500000;3892590
MTSS;D;20220401;238.6000000;248.1000000;232.0000000;235.0000000;1405200
MTSS;D;20220404;235.1500000;239.0500000;224.2000000;231.0000000;1081600
MTSS;D;20220405;231.0000000;231.0500000;215.3500000;218.0000000;1019260
MTSS;D;20220406;217.3000000;220.0000000;212.0000000;215.0000000;696630
MTSS;D;20220407;216.0000000;221.8500000;215.0500000;216.5000000;538620
MTSS;D;20220408;233.9500000;234.9500000;213.0000000;215.2000000;2037190
MTSS;D;20220411;217.8000000;217.8000000;210.1000000;211.7500000;685370
MTSS;D;20220412;213.9500000;213.9500000;204.0000000;210.9000000;881920
MTSS;D;20220413;214.0000000;215.9000000;210.0000000;210.5000000;722550
MTSS;D;20220414;212.5000000;213.2000000;205.0000000;205.8000000;547160
MTSS;D;20220415;205.6000000;211.7000000;200.4500000;207.3500000;1047950
MTSS;D;20220418;207.9000000;213.4000000;203.2000000;203.8000000;906380
MTSS;D;20220419;205.0000000;205.0000000;195.1000000;201.8000000;1191780
MTSS;D;20220420;201.6000000;202.4000000;195.2500000;196.9500000;1602980
MTSS;D;20220421;197.3000000;198.2500000;192.3000000;192.4000000;1073750
MTSS;D;20220422;193.5000000;194.7500000;188.0500000;188.0500000;1036540
MTSS;D;20220425;188.1000000;188.3000000;181.6500000;185.0000000;1339690
MTSS;D;20220426;184.7000000;197.3000000;184.5500000;196.3500000;3911040
MTSS;D;20220427;196.8000000;208.2000000;194.3500000;207.6000000;4755020
MTSS;D;20220428;208.0000000;212.7000000;202.2500000;205.0000000;2838950
MTSS;D;20220429;205.6500000;209.3500000;205.0500000;209.0500000;1112470
MTSS;D;20220504;209.1000000;212.2000000;207.1500000;208.7000000;843570
MTSS;D;20220505;209.0000000;214.9500000;208.7500000;214.1000000;1057770
MTSS;D;20220506;213.7000000;214.4000000;209.2500000;211.0000000;907460
MTSS;D;20220511;211.2500000;211.2500000;206.1000000;209.4500000;789890
MTSS;D;20220512;209.1000000;209.3000000;198.3000000;200.1000000;1593620
MTSS;D;20220513;201.3000000;202.9500000;199.0000000;200.8500000;1179810
MTSS;D;20220516;201.0500000;210.0000000;200.4500000;210.0000000;1187790
MTSS;D;20220517;208.5000000;219.6000000;205.0000000;217.5000000;2052960
MTSS;D;20220518;249.0000000;282.9000000;242.6000000;243.0000000;12001580
MTSS;D;20220519;242.3000000;246.0000000;237.6000000;243.1500000;2433320
MTSS;D;20220520;244.8000000;245.9000000;237.0000000;238.5000000;1652400
MTSS;D;20220523;239.0000000;240.0000000;232.3000000;236.0000000;1147840
MTSS;D;20220524;236.0000000;245.4500000;230.7000000;243.4000000;2227800
MTSS;D;20220525;244.9000000;249.4500000;242.5500000;248.0000000;2274270
MTSS;D;20220526;249.0000000;251.5000000;245.0000000;245.7500000;2092890
MTSS;D;20220527;245.7000000;248.7500000;243.9000000;246.9000000;1325810
MTSS;D;20220530;246.9000000;255.0000000;246.1000000;255.0000000;1691210
MTSS;D;20220531;254.9000000;257.0000000;251.7500000;254.9500000;1073280
MTSS;D;20220601;254.9500000;257.9500000;253.0000000;257.0500000;987190
MTSS;D;20220602;257.0500000;261.9000000;252.7500000;261.7000000;2188060
MTSS;D;20220603;261.1500000;263.4000000;254.0000000;259.5000000;1411060
MTSS;D;20220606;260.0000000;270.5000000;258.0000000;268.3500000;2585970
MTSS;D;20220607;267.2500000;271.7500000;265.0000000;270.2000000;1503520
MTSS;D;20220608;270.0000000;274.5000000;270.0000000;272.3500000;1446480
MTSS;D;20220609;271.8000000;272.3500000;268.1500000;270.7000000;785300
MTSS;D;20220610;270.9500000;274.9000000;269.1000000;274.0000000;1310130
MTSS;D;20220614;274.3000000;275.0000000;272.3500000;274.9000000;1309930
MTSS;D;20220615;274.9500000;277.1000000;273.5000000;276.1000000;1373670
MTSS;D;20220616;276.8500000;277.0500000;275.3500000;277.0500000;885250
MTSS;D;20220617;276.3000000;277.0000000;272.2000000;274.7000000;802650
MTSS;D;20220620;274.5000000;276.4500000;274.0000000;274.4500000;932580
MTSS;D;20220621;275.0000000;275.5500000;269.8500000;272.7000000;1106130
MTSS;D;20220622;273.0000000;277.0000000;267.1000000;274.0000000;1791310
MTSS;D;20220623;279.0000000;279.5000000;274.0000000;276.2000000;2625800
MTSS;D;20220624;276.4500000;281.4000000;275.2500000;278.3500000;1467930
MTSS;D;20220627;278.9500000;280.6500000;275.0000000;276.2000000;912010
MTSS;D;20220628;276.2000000;278.7000000;275.3000000;277.4000000;951570
MTSS;D;20220629;277.5000000;278.0000000;275.0000000;275.7000000;703030
MTSS;D;20220630;275.7000000;276.4000000;256.5000000;273.7000000;2548180
MTSS;D;20220701;272.0000000;279.0000000;269.0500000;278.8500000;1714430
MTSS;D;20220704;279.9500000;281.3500000;278.5000000;280.5500000;2177970
MTSS;D;20220705;280.0500000;281.4500000;275.2500000;276.3000000;1905250
MTSS;D;20220706;276.3000000;277.2500000;267.6000000;270.0500000;3010800
MTSS;D;20220707;269.9000000;273.0500000;268.1000000;273.0000000;1703980
MTSS;D;20220708;272.8500000;275.0500000;269.7000000;275.0500000;4262310
MTSS;D;20220711;247.5500000;247.5500000;237.0500000;239.8500000;4680550
MTSS;D;20220712;239.0500000;239.6000000;227.2000000;236.8500000;4289580
MTSS;D;20220713;236.9000000;238.9500000;231.0000000;233.9000000;1685560
MTSS;D;20220714;232.7500000;235.0000000;228.8500000;229.8000000;1888240
MTSS;D;20220715;229.5000000;239.5500000;226.0000000;236.9000000;1483400
MTSS;D;20220718;237.9500000;239.7500000;231.2500000;236.3000000;1102410
MTSS;D;20220719;236.2500000;236.8000000;231.5500000;232.5500000;797860
MTSS;D;20220720;232.7000000;236.0000000;231.8000000;232.6000000;622060
MTSS;D;20220721;232.5000000;233.5000000;227.2000000;229.0500000;829940
MTSS;D;20220722;229.9000000;232.1500000;229.0000000;230.8000000;674960
MTSS;D;20220725;231.0500000;232.0000000;229.5500000;230.8500000;546980
MTSS;D;20220726;231.2000000;233.2500000;230.1000000;233.2500000;971830
MTSS;D;20220727;234.0000000;237.0000000;232.0000000;235.6500000;1503160
MTSS;D;20220728;235.8000000;243.5000000;235.7500000;243.1500000;2115420
MTSS;D;20220729;243.7000000;245.0000000;241.0500000;243.4500000;1599760
