<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SIBN;D;20211122;498.6500000;504.4500000;481.1500000;491.5000000;2499820
SIBN;D;20211123;489.1500000;512.0000000;481.0000000;509.5000000;2207450
SIBN;D;20211124;513.2000000;520.9500000;502.8500000;505.4500000;1589450
SIBN;D;20211125;506.9500000;515.0000000;496.0000000;503.9500000;1158180
SIBN;D;20211126;497.0500000;501.8500000;490.3000000;491.9000000;1700670
SIBN;D;20211129;495.9500000;509.0000000;494.8000000;500.2500000;1424370
SIBN;D;20211130;498.8500000;503.5000000;495.6500000;498.0000000;897020
SIBN;D;20211201;501.9500000;520.8500000;500.0500000;515.0000000;2103720
SIBN;D;20211202;515.0500000;526.0000000;512.5000000;518.2500000;1155160
SIBN;D;20211203;520.2000000;532.0000000;520.2000000;526.0000000;1993760
SIBN;D;20211206;529.0000000;533.9500000;509.8000000;522.9500000;1206800
SIBN;D;20211207;523.5000000;536.5500000;517.7000000;525.5000000;1395030
SIBN;D;20211208;527.7500000;532.7500000;519.6500000;522.8000000;940360
SIBN;D;20211209;524.8000000;528.0000000;517.0500000;523.2000000;703920
SIBN;D;20211210;520.3500000;522.5500000;516.1000000;518.9000000;554010
SIBN;D;20211213;520.2500000;524.2000000;511.6500000;512.1000000;757140
SIBN;D;20211214;508.7500000;519.0000000;494.0500000;509.0000000;862380
SIBN;D;20211215;513.9500000;528.7500000;513.4000000;520.0000000;1042580
SIBN;D;20211216;526.0000000;537.2500000;524.2500000;535.8500000;1318160
SIBN;D;20211217;534.8500000;539.0000000;530.1500000;534.4000000;1293910
SIBN;D;20211220;530.2500000;539.7000000;526.8000000;535.4000000;1389820
SIBN;D;20211221;539.6000000;544.4000000;534.5000000;543.9000000;1642180
SIBN;D;20211222;544.4000000;547.7000000;540.1500000;545.9500000;1831740
SIBN;D;20211223;546.4500000;557.0000000;546.4500000;551.5000000;2185260
SIBN;D;20211224;551.5000000;563.7500000;546.0000000;562.0000000;2091680
SIBN;D;20211227;522.6000000;529.0000000;520.0000000;526.2500000;2466790
SIBN;D;20211228;527.5500000;541.2500000;527.3500000;540.7000000;2127030
SIBN;D;20211229;542.0000000;545.9500000;530.8000000;539.0000000;1147290
SIBN;D;20211230;538.5000000;546.0000000;534.7000000;544.8000000;1423550
SIBN;D;20220103;546.1500000;551.5000000;530.3000000;536.5000000;1483900
SIBN;D;20220104;538.4500000;545.0500000;533.4500000;545.0500000;1129040
SIBN;D;20220105;542.9000000;545.6500000;538.7500000;540.5000000;520550
SIBN;D;20220106;540.9500000;542.3000000;534.0000000;537.9000000;696760
SIBN;D;20220110;540.9500000;546.1500000;532.5500000;534.5000000;1143560
SIBN;D;20220111;536.7000000;540.9000000;533.1000000;537.0500000;615110
SIBN;D;20220112;537.9500000;545.2500000;530.9500000;540.3500000;1120780
SIBN;D;20220113;540.0500000;544.9000000;535.0000000;535.3000000;1037790
SIBN;D;20220114;536.9000000;540.9500000;516.0000000;526.2500000;1690290
SIBN;D;20220117;529.4500000;535.9000000;520.0000000;522.7000000;1843850
SIBN;D;20220118;521.9500000;523.3500000;493.0000000;503.0000000;2103830
SIBN;D;20220119;499.7500000;518.7000000;479.8000000;499.9500000;2330150
SIBN;D;20220120;517.4500000;523.9500000;503.0500000;510.0000000;1303090
SIBN;D;20220121;506.9000000;512.6000000;494.0000000;501.6000000;1392800
SIBN;D;20220124;503.0000000;503.0500000;466.1000000;477.6000000;2318050
SIBN;D;20220125;494.9500000;494.9500000;476.0500000;480.1500000;1523160
SIBN;D;20220126;485.4500000;498.7500000;481.3500000;487.7000000;1108700
SIBN;D;20220127;487.0500000;519.4000000;482.9000000;506.9000000;2617560
SIBN;D;20220128;512.9000000;517.0500000;502.5000000;505.8000000;1046440
SIBN;D;20220131;510.8500000;514.2000000;500.0500000;500.2500000;688060
SIBN;D;20220201;501.0000000;513.6000000;496.3500000;510.8000000;1125160
SIBN;D;20220202;510.7500000;515.3500000;498.2000000;512.0500000;1369080
SIBN;D;20220203;505.8000000;510.2500000;495.5500000;502.0000000;999930
SIBN;D;20220204;505.0000000;513.7500000;498.5000000;500.5000000;1594180
SIBN;D;20220207;506.3000000;510.0000000;497.0000000;507.6500000;937160
SIBN;D;20220208;507.5000000;515.6000000;503.5500000;515.6000000;1209980
SIBN;D;20220209;519.2000000;523.3000000;517.1500000;520.9000000;754640
SIBN;D;20220210;520.9000000;534.7000000;517.0000000;532.3000000;1177740
SIBN;D;20220211;528.1000000;532.2500000;520.7000000;531.3000000;1163760
SIBN;D;20220214;521.0500000;528.9000000;500.5000000;504.8500000;3170270
SIBN;D;20220215;512.0000000;527.7000000;509.2000000;521.1500000;2021410
SIBN;D;20220216;526.9500000;530.4000000;518.1000000;525.1500000;1000750
SIBN;D;20220217;524.0500000;524.0500000;507.5500000;511.0000000;1276680
SIBN;D;20220218;514.9500000;518.1500000;488.5500000;505.3500000;1265970
SIBN;D;20220221;510.9500000;515.9500000;450.0500000;453.1500000;3989960
SIBN;D;20220222;436.9000000;508.0000000;409.0500000;477.4000000;3529090
SIBN;D;20220224;432.1000000;432.1000000;308.8000000;350.0000000;1966590
SIBN;D;20220225;378.0000000;467.6500000;377.5000000;400.4500000;909405
SIBN;D;20220328;440.5000000;473.9500000;362.0000000;389.0000000;825767
SIBN;D;20220329;389.2500000;409.9000000;369.0000000;398.0000000;351277
SIBN;D;20220330;399.9500000;427.0000000;398.0000000;422.0000000;332360
SIBN;D;20220331;422.7500000;449.0000000;420.0500000;447.9000000;428272
SIBN;D;20220401;450.7500000;467.9000000;410.0000000;431.7000000;945461
SIBN;D;20220404;439.6500000;441.0000000;412.0000000;434.0000000;455678
SIBN;D;20220405;435.6000000;439.9000000;410.6000000;412.5500000;774782
SIBN;D;20220406;410.6000000;438.9500000;400.0500000;430.0500000;495041
SIBN;D;20220407;428.1500000;439.0000000;420.0000000;430.1000000;418073
SIBN;D;20220408;431.3500000;438.3500000;430.1000000;437.3000000;359873
SIBN;D;20220411;437.0000000;439.8500000;423.0000000;424.0000000;459373
SIBN;D;20220412;425.5500000;429.1500000;410.0000000;428.1000000;380967
SIBN;D;20220413;429.4500000;434.4500000;420.0000000;425.0000000;138562
SIBN;D;20220414;421.5500000;426.9000000;403.1000000;404.5500000;195742
SIBN;D;20220415;405.8000000;423.9500000;400.6000000;423.9500000;266745
SIBN;D;20220418;419.5500000;419.9500000;403.1000000;403.1000000;261034
SIBN;D;20220419;403.6500000;407.7000000;375.0000000;384.8000000;1408125
SIBN;D;20220420;387.8500000;402.8000000;371.6000000;401.7500000;520888
SIBN;D;20220421;400.0500000;402.8500000;382.0500000;384.7000000;205772
SIBN;D;20220422;384.0000000;398.0000000;380.0000000;388.6500000;195423
SIBN;D;20220425;391.0000000;393.9000000;376.0500000;379.4500000;150258
SIBN;D;20220426;381.9500000;399.6000000;379.9000000;399.6000000;255657
SIBN;D;20220427;399.6000000;410.0000000;392.0500000;402.5000000;216591
SIBN;D;20220428;405.0000000;414.6000000;403.1500000;408.8000000;301563
SIBN;D;20220429;411.2500000;418.0000000;400.0000000;417.0000000;243101
SIBN;D;20220504;416.9000000;419.4000000;401.0500000;408.9000000;180975
SIBN;D;20220505;408.1500000;413.9000000;405.0000000;408.0000000;102631
SIBN;D;20220506;407.0000000;407.0000000;391.7500000;394.7000000;272135
SIBN;D;20220511;394.9500000;397.9000000;390.0000000;396.9000000;191259
SIBN;D;20220512;394.0000000;396.5500000;380.0000000;383.0500000;151093
SIBN;D;20220513;383.7500000;386.1500000;380.0000000;380.0000000;96760
SIBN;D;20220516;382.9500000;394.7500000;381.9500000;394.7500000;288811
SIBN;D;20220517;394.7000000;407.0000000;393.7500000;398.0500000;343735
SIBN;D;20220518;403.9500000;438.8000000;403.1000000;430.0000000;963485
SIBN;D;20220519;445.6500000;457.2000000;412.4000000;418.0000000;742068
SIBN;D;20220520;420.0000000;423.5000000;401.0000000;407.0000000;302394
SIBN;D;20220523;408.6000000;410.5500000;390.0500000;399.5000000;350525
SIBN;D;20220524;399.7000000;401.7500000;388.0000000;395.4500000;291925
SIBN;D;20220525;399.8500000;405.9000000;392.6000000;397.7000000;224474
SIBN;D;20220526;398.0000000;407.9000000;396.0000000;401.6500000;292172
SIBN;D;20220527;406.8000000;422.7000000;402.1500000;414.5500000;486575
SIBN;D;20220530;419.9500000;422.3000000;416.0000000;420.2000000;504873
SIBN;D;20220531;420.4000000;420.6500000;412.9000000;419.4500000;166616
SIBN;D;20220601;417.9500000;418.0000000;411.5000000;411.7000000;135088
SIBN;D;20220602;413.9000000;414.0000000;395.0000000;410.1000000;405264
SIBN;D;20220603;410.0000000;420.0000000;406.0500000;412.0000000;421655
SIBN;D;20220606;411.0500000;411.8000000;408.4000000;409.7000000;170292
SIBN;D;20220607;408.9500000;409.0000000;397.0000000;408.7000000;412261
SIBN;D;20220608;410.0000000;432.9000000;405.8000000;430.0000000;852039
SIBN;D;20220609;432.0000000;444.0000000;428.1500000;432.1000000;544853
SIBN;D;20220610;430.1000000;438.0000000;423.0000000;427.5000000;436032
SIBN;D;20220614;422.4000000;437.0000000;418.2000000;434.6500000;390447
SIBN;D;20220615;433.4000000;435.2000000;428.8500000;431.2000000;170781
SIBN;D;20220616;435.6000000;443.0000000;432.2500000;443.0000000;388646
SIBN;D;20220617;443.2500000;449.8500000;440.0000000;444.0000000;428019
SIBN;D;20220620;447.7500000;452.5000000;437.0000000;452.5000000;307702
SIBN;D;20220621;453.9500000;457.5000000;439.0000000;444.0500000;394072
SIBN;D;20220622;440.9500000;443.0000000;425.5000000;426.2500000;411512
SIBN;D;20220623;428.9500000;438.4500000;413.7500000;416.0000000;885044
SIBN;D;20220624;419.0000000;424.4500000;417.9500000;419.7500000;257853
SIBN;D;20220627;420.5000000;431.0000000;418.4500000;426.9000000;455977
SIBN;D;20220628;431.0000000;433.2000000;412.7000000;414.5000000;871485
SIBN;D;20220629;415.9500000;416.5000000;401.0000000;411.0500000;537495
SIBN;D;20220630;412.3500000;418.8000000;391.0000000;396.2000000;615887
SIBN;D;20220701;393.7000000;414.6500000;393.7000000;395.0500000;495484
SIBN;D;20220704;398.1500000;408.2000000;398.1500000;400.8500000;295212
SIBN;D;20220705;401.0000000;403.7000000;391.7000000;397.0000000;464922
SIBN;D;20220706;397.0500000;402.0000000;394.0500000;397.3500000;466416
SIBN;D;20220707;382.5000000;390.0000000;379.5500000;387.9500000;626254
SIBN;D;20220708;388.0500000;391.7500000;385.0000000;390.3000000;247617
SIBN;D;20220711;390.2500000;390.3000000;384.0000000;385.3000000;255001
SIBN;D;20220712;385.2500000;387.2000000;375.2500000;382.0000000;311714
SIBN;D;20220713;382.0000000;383.9500000;367.3500000;369.6000000;266801
SIBN;D;20220714;368.0500000;373.0500000;360.0000000;365.0000000;323148
SIBN;D;20220715;364.9000000;385.0000000;361.0000000;380.0000000;238279
SIBN;D;20220718;384.0500000;384.6500000;370.1000000;370.1000000;163049
SIBN;D;20220719;371.8500000;375.0000000;365.0000000;367.7000000;187704
SIBN;D;20220720;368.8000000;371.5000000;367.0000000;371.0000000;97133
SIBN;D;20220721;371.4000000;373.3500000;356.0000000;357.9500000;292849
SIBN;D;20220722;358.9500000;368.0000000;357.7500000;364.0000000;373574
SIBN;D;20220725;363.9500000;368.0000000;361.0500000;361.0500000;220664
SIBN;D;20220726;362.0000000;383.0000000;361.6500000;381.4000000;547245
SIBN;D;20220727;383.8000000;394.5000000;378.7000000;386.0000000;615899
SIBN;D;20220728;387.0500000;387.7000000;380.1000000;385.0000000;278154
SIBN;D;20220729;385.4500000;386.9500000;378.1500000;381.9500000;374846
SIBN;D;20220801;381.5000000;390.0000000;380.0000000;383.0000000;346775
SIBN;D;20220802;385.0500000;389.0000000;378.0000000;386.0000000;296412
SIBN;D;20220803;385.5000000;387.0000000;380.1000000;383.7000000;121196
SIBN;D;20220804;383.7500000;384.9000000;378.0000000;378.0000000;194740
SIBN;D;20220805;379.3500000;381.4500000;368.0000000;373.0000000;373461
SIBN;D;20220808;378.1000000;382.8000000;373.7000000;375.0000000;144931
SIBN;D;20220809;376.4000000;382.0000000;373.3000000;381.0000000;147132
SIBN;D;20220810;381.9500000;388.9500000;381.0500000;388.9500000;201611
SIBN;D;20220811;388.9500000;394.8500000;385.7500000;387.0500000;252552
SIBN;D;20220812;386.0500000;391.8000000;375.3000000;382.7000000;344735
SIBN;D;20220815;384.5000000;389.9000000;380.5000000;389.9000000;217470
SIBN;D;20220816;389.0500000;402.0000000;388.7500000;398.2000000;520948
SIBN;D;20220817;399.0000000;403.2000000;394.6000000;394.6000000;257332
SIBN;D;20220818;394.6000000;400.7500000;393.0500000;400.5000000;211430
SIBN;D;20220819;399.0500000;404.5500000;396.0500000;403.8000000;188408
SIBN;D;20220822;403.4500000;408.0000000;400.8000000;407.9500000;198523
SIBN;D;20220823;407.9500000;411.7000000;405.1500000;406.7000000;172408
SIBN;D;20220824;406.7000000;408.9500000;401.6500000;403.9000000;175474
SIBN;D;20220825;403.9000000;407.7500000;400.1000000;400.1000000;195630
SIBN;D;20220826;400.8500000;407.9500000;398.1000000;407.9500000;180119
SIBN;D;20220829;406.9000000;409.9500000;405.3500000;407.5000000;206490
SIBN;D;20220830;409.8500000;418.9000000;406.0000000;406.5000000;382553
SIBN;D;20220831;417.4500000;433.9500000;412.0000000;420.0500000;955619
SIBN;D;20220901;422.1500000;429.0000000;411.3000000;412.1000000;446608
SIBN;D;20220902;413.5000000;433.0000000;412.4500000;423.0500000;663606
SIBN;D;20220905;425.7000000;440.0000000;420.6000000;437.0000000;429352
SIBN;D;20220906;440.1000000;442.0500000;415.0000000;433.0000000;563380
SIBN;D;20220907;431.0000000;432.0000000;423.0000000;423.0000000;423769
SIBN;D;20220908;422.0000000;427.8500000;420.4000000;426.8500000;236142
SIBN;D;20220909;429.0000000;440.0000000;424.0000000;429.1500000;753251
SIBN;D;20220912;429.6500000;434.6500000;427.1000000;433.9000000;243038
SIBN;D;20220913;433.9500000;439.2000000;432.5000000;433.2000000;303906
SIBN;D;20220914;433.1500000;433.1500000;423.6500000;428.8500000;246447
SIBN;D;20220915;429.5000000;439.9500000;428.8500000;439.9500000;240731
SIBN;D;20220916;439.5000000;443.4000000;431.0500000;436.7000000;384986
SIBN;D;20220919;435.4000000;436.0000000;427.0000000;430.0000000;295605
SIBN;D;20220920;430.1500000;430.9500000;375.1500000;394.9000000;1450633
SIBN;D;20220921;364.7500000;394.9000000;350.0000000;371.0000000;721320
SIBN;D;20220922;371.5000000;394.9000000;371.3000000;385.5000000;530802
SIBN;D;20220923;385.9500000;388.9000000;360.0000000;365.1000000;504106
SIBN;D;20220926;362.6500000;362.6500000;321.0000000;345.5000000;1073735
SIBN;D;20220927;347.7000000;368.9500000;336.6500000;340.0000000;704321
SIBN;D;20220928;344.0000000;347.1500000;331.0000000;345.9500000;317724
SIBN;D;20220929;346.9000000;349.7000000;331.8500000;335.5500000;256886
SIBN;D;20220930;337.0000000;348.9000000;328.1000000;338.8000000;537401
SIBN;D;20221003;342.9500000;364.7500000;341.8500000;362.5000000;352392
SIBN;D;20221004;365.0000000;374.2500000;352.4500000;362.0000000;384076
SIBN;D;20221005;360.1500000;372.0000000;352.0500000;358.5500000;431588
SIBN;D;20221006;364.3500000;370.9500000;359.3500000;368.0000000;397845
SIBN;D;20221007;369.0000000;369.9000000;347.5000000;350.6500000;223395
SIBN;D;20221010;329.0000000;361.6500000;327.0000000;359.2000000;335759
SIBN;D;20221011;360.9500000;370.9500000;359.0000000;363.8000000;304108
SIBN;D;20221012;365.9500000;374.9000000;364.0000000;365.2500000;242868
