<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TGKD;D;20211122;0.0087000;0.0087000;0.0080000;0.0083000;1203400000
TGKD;D;20211123;0.0082000;0.0085000;0.0080800;0.0083450;302600000
TGKD;D;20211124;0.0084600;0.0091000;0.0083950;0.0087950;1052200000
TGKD;D;20211125;0.0086450;0.0091650;0.0086450;0.0089100;714800000
TGKD;D;20211126;0.0086950;0.0090500;0.0084900;0.0087100;1005000000
TGKD;D;20211129;0.0086400;0.0090800;0.0083900;0.0085100;726400000
TGKD;D;20211130;0.0086450;0.0092150;0.0085000;0.0089500;1042400000
TGKD;D;20211201;0.0088050;0.0092000;0.0088050;0.0089800;773100000
TGKD;D;20211202;0.0091000;0.0092000;0.0087700;0.0088300;230800000
TGKD;D;20211203;0.0091050;0.0091100;0.0085350;0.0087800;182600000
TGKD;D;20211206;0.0087800;0.0087950;0.0083600;0.0085200;405200000
TGKD;D;20211207;0.0085200;0.0085750;0.0083350;0.0084200;257000000
TGKD;D;20211208;0.0085200;0.0087500;0.0082300;0.0082550;413000000
TGKD;D;20211209;0.0082550;0.0088150;0.0082550;0.0086000;956100000
TGKD;D;20211210;0.0086000;0.0088000;0.0084750;0.0085650;142400000
TGKD;D;20211213;0.0086300;0.0088000;0.0081700;0.0087500;939600000
TGKD;D;20211214;0.0087950;0.0088350;0.0083000;0.0088000;864600000
TGKD;D;20211215;0.0087200;0.0088100;0.0085100;0.0085100;342500000
TGKD;D;20211216;0.0085100;0.0088350;0.0083700;0.0087600;681100000
TGKD;D;20211217;0.0087650;0.0087850;0.0085400;0.0087150;161900000
TGKD;D;20211220;0.0087150;0.0087900;0.0084900;0.0084900;282300000
TGKD;D;20211221;0.0087450;0.0087950;0.0084000;0.0085450;350500000
TGKD;D;20211222;0.0084000;0.0087450;0.0081050;0.0084100;550600000
TGKD;D;20211223;0.0084700;0.0089300;0.0082150;0.0085400;2551900000
TGKD;D;20211224;0.0085600;0.0086650;0.0082600;0.0084500;807000000
TGKD;D;20211227;0.0084800;0.0085950;0.0082900;0.0083450;544400000
TGKD;D;20211228;0.0084450;0.0086100;0.0082250;0.0082500;948600000
TGKD;D;20211229;0.0084000;0.0084000;0.0082200;0.0082550;645800000
TGKD;D;20211230;0.0083700;0.0083700;0.0080250;0.0080900;334500000
TGKD;D;20220103;0.0082350;0.0084250;0.0080850;0.0082150;268500000
TGKD;D;20220104;0.0083000;0.0085000;0.0081700;0.0082500;143800000
TGKD;D;20220105;0.0083050;0.0083550;0.0081550;0.0082000;175500000
TGKD;D;20220106;0.0081500;0.0082550;0.0080850;0.0081350;287700000
TGKD;D;20220110;0.0081250;0.0084050;0.0081250;0.0081500;193500000
TGKD;D;20220111;0.0082450;0.0082900;0.0081500;0.0081500;79300000
TGKD;D;20220112;0.0081550;0.0082350;0.0081000;0.0082200;112900000
TGKD;D;20220113;0.0081850;0.0082500;0.0077100;0.0079200;697800000
TGKD;D;20220114;0.0080150;0.0080150;0.0072000;0.0075250;1404100000
TGKD;D;20220117;0.0075250;0.0077300;0.0073250;0.0074000;288900000
TGKD;D;20220118;0.0074500;0.0075000;0.0068750;0.0071250;936700000
TGKD;D;20220119;0.0070800;0.0077000;0.0069450;0.0074850;559300000
TGKD;D;20220120;0.0075850;0.0078100;0.0072400;0.0073300;235100000
TGKD;D;20220121;0.0074000;0.0074000;0.0072400;0.0072850;151400000
TGKD;D;20220124;0.0072250;0.0074550;0.0067350;0.0068000;1494300000
TGKD;D;20220125;0.0069450;0.0071950;0.0067950;0.0070250;438000000
TGKD;D;20220126;0.0072350;0.0075500;0.0070050;0.0073450;164400000
TGKD;D;20220127;0.0073450;0.0077700;0.0072850;0.0076400;202600000
TGKD;D;20220128;0.0076000;0.0078850;0.0076000;0.0076650;192900000
TGKD;D;20220131;0.0076050;0.0081700;0.0076000;0.0080800;353200000
TGKD;D;20220201;0.0101050;0.0132500;0.0101050;0.0130000;57963700000
TGKD;D;20220202;0.0130950;0.0135000;0.0120150;0.0122900;11327300000
TGKD;D;20220203;0.0122750;0.0125950;0.0119500;0.0120550;4434100000
TGKD;D;20220204;0.0121450;0.0128800;0.0120900;0.0124450;2748300000
TGKD;D;20220207;0.0124650;0.0126650;0.0123050;0.0125050;2150200000
TGKD;D;20220208;0.0126450;0.0126600;0.0125500;0.0125850;1186300000
TGKD;D;20220209;0.0125750;0.0126750;0.0123700;0.0125200;777700000
TGKD;D;20220210;0.0125150;0.0126350;0.0125100;0.0126300;550400000
TGKD;D;20220211;0.0126900;0.0126900;0.0124850;0.0125700;910600000
TGKD;D;20220214;0.0125000;0.0125700;0.0125000;0.0125250;523700000
TGKD;D;20220215;0.0125700;0.0127750;0.0125500;0.0126000;271400000
TGKD;D;20220216;0.0125900;0.0126950;0.0125600;0.0126000;1561600000
TGKD;D;20220217;0.0126750;0.0130000;0.0121950;0.0125750;3685000000
TGKD;D;20220218;0.0126000;0.0127350;0.0123450;0.0123700;1303100000
TGKD;D;20220221;0.0125700;0.0126400;0.0115150;0.0120950;8193000000
TGKD;D;20220222;0.0114150;0.0120750;0.0112650;0.0119550;2984400000
TGKD;D;20220224;0.0110950;0.0111000;0.0079000;0.0085200;4440900000
TGKD;D;20220225;0.0089950;0.0110000;0.0089950;0.0108350;952400000
TGKD;D;20220328;0.0118950;0.0119000;0.0113100;0.0114550;2655900000
TGKD;D;20220329;0.0115000;0.0118000;0.0114550;0.0115000;3729200000
TGKD;D;20220330;0.0116850;0.0117500;0.0115400;0.0116300;4338700000
TGKD;D;20220331;0.0117800;0.0120400;0.0115150;0.0115950;11904300000
TGKD;D;20220401;0.0115200;0.0117900;0.0115200;0.0117350;1441100000
TGKD;D;20220404;0.0117700;0.0118450;0.0116250;0.0117800;964400000
TGKD;D;20220405;0.0117850;0.0117950;0.0116950;0.0117150;1533800000
TGKD;D;20220406;0.0118750;0.0118750;0.0116900;0.0117350;915600000
TGKD;D;20220407;0.0118350;0.0119950;0.0117200;0.0119650;1088000000
TGKD;D;20220408;0.0120950;0.0120950;0.0118950;0.0120400;6652900000
TGKD;D;20220411;0.0121900;0.0121900;0.0119550;0.0121650;1152900000
TGKD;D;20220412;0.0120600;0.0122350;0.0120600;0.0121950;2407400000
TGKD;D;20220413;0.0122800;0.0123850;0.0121650;0.0123550;3022000000
TGKD;D;20220414;0.0122800;0.0125000;0.0121850;0.0124100;5730000000
TGKD;D;20220415;0.0124800;0.0125500;0.0123700;0.0124950;952800000
TGKD;D;20220418;0.0123050;0.0125350;0.0123000;0.0124850;1046200000
TGKD;D;20220419;0.0125200;0.0125800;0.0123700;0.0125100;762000000
TGKD;D;20220420;0.0125400;0.0125400;0.0123750;0.0124550;1765200000
TGKD;D;20220421;0.0124150;0.0125450;0.0124150;0.0124850;3058700000
TGKD;D;20220422;0.0124900;0.0125250;0.0124750;0.0125000;714400000
TGKD;D;20220425;0.0125000;0.0125850;0.0124000;0.0125300;915900000
TGKD;D;20220426;0.0125400;0.0125550;0.0123800;0.0124950;540900000
TGKD;D;20220427;0.0124500;0.0125150;0.0124350;0.0124900;173800000
TGKD;D;20220428;0.0124600;0.0125300;0.0124450;0.0125200;343500000
TGKD;D;20220429;0.0125400;0.0125400;0.0124750;0.0125000;175700000
TGKD;D;20220504;0.0124550;0.0125250;0.0124550;0.0125250;604100000
TGKD;D;20220505;0.0124900;0.0127500;0.0124900;0.0127300;1567300000
TGKD;D;20220506;0.0127300;0.0127300;0.0125350;0.0126950;535000000
TGKD;D;20220511;0.0126000;0.0127250;0.0126000;0.0127000;219500000
TGKD;D;20220512;0.0126800;0.0128550;0.0126100;0.0127650;9705100000
TGKD;D;20220513;0.0128550;0.0128550;0.0127700;0.0127950;851000000
TGKD;D;20220516;0.0128350;0.0129750;0.0127800;0.0128200;5846500000
TGKD;D;20220517;0.0128350;0.0129000;0.0128050;0.0128100;1026700000
TGKD;D;20220518;0.0128150;0.0129300;0.0127500;0.0129000;1344800000
TGKD;D;20220519;0.0127650;0.0129050;0.0127650;0.0128350;88900000
TGKD;D;20220520;0.0128200;0.0128350;0.0127650;0.0127700;57200000
TGKD;D;20220523;0.0124600;0.0126000;0.0115400;0.0116800;302600000
TGKD;D;20220524;0.0116600;0.0118500;0.0112000;0.0112050;212900000
TGKD;D;20220525;0.0114400;0.0115000;0.0105600;0.0108100;168800000
TGKD;D;20220526;0.0112450;0.0126800;0.0108500;0.0118100;1387900000
TGKD;D;20220527;0.0119950;0.0120000;0.0116550;0.0117450;210200000
TGKD;D;20220530;0.0116250;0.0118800;0.0115100;0.0116450;99400000
TGKD;D;20220531;0.0116150;0.0118850;0.0112100;0.0114750;113800000
TGKD;D;20220601;0.0114850;0.0116000;0.0114450;0.0114450;22700000
TGKD;D;20220602;0.0115300;0.0116600;0.0115250;0.0116150;42500000
TGKD;D;20220603;0.0114900;0.0116350;0.0114800;0.0115050;30100000
TGKD;D;20220606;0.0116350;0.0116550;0.0114050;0.0115150;41800000
TGKD;D;20220607;0.0114350;0.0115150;0.0113250;0.0115100;27200000
TGKD;D;20220608;0.0114350;0.0116000;0.0113000;0.0114100;88800000
TGKD;D;20220609;0.0113500;0.0120000;0.0113450;0.0115600;91300000
TGKD;D;20220610;0.0115600;0.0120750;0.0114300;0.0115000;349800000
TGKD;D;20220614;0.0114950;0.0116600;0.0113850;0.0114700;54000000
TGKD;D;20220615;0.0113850;0.0116250;0.0113850;0.0116000;17400000
TGKD;D;20220616;0.0116100;0.0117000;0.0115000;0.0115250;66100000
TGKD;D;20220617;0.0115850;0.0116400;0.0114100;0.0115450;36800000
TGKD;D;20220620;0.0115300;0.0119000;0.0115050;0.0119000;139900000
TGKD;D;20220621;0.0120200;0.0136050;0.0120200;0.0121600;664300000
TGKD;D;20220622;0.0121900;0.0126950;0.0121700;0.0121850;167600000
TGKD;D;20220623;0.0123900;0.0124400;0.0121700;0.0121800;92900000
TGKD;D;20220624;0.0122050;0.0122350;0.0121700;0.0121950;42000000
TGKD;D;20220627;0.0121950;0.0122800;0.0120300;0.0122600;64000000
TGKD;D;20220628;0.0124250;0.0124650;0.0121900;0.0122950;50200000
TGKD;D;20220629;0.0122950;0.0123900;0.0121150;0.0121900;132300000
TGKD;D;20220630;0.0121850;0.0123950;0.0120400;0.0122000;126300000
TGKD;D;20220701;0.0123450;0.0123450;0.0121950;0.0122000;29500000
TGKD;D;20220704;0.0122850;0.0123000;0.0121500;0.0122850;61600000
TGKD;D;20220705;0.0121750;0.0122450;0.0121700;0.0122150;41700000
TGKD;D;20220706;0.0122550;0.0122650;0.0121650;0.0122150;25300000
TGKD;D;20220707;0.0122100;0.0126900;0.0120850;0.0122200;76600000
TGKD;D;20220708;0.0123850;0.0126900;0.0122000;0.0122800;110900000
TGKD;D;20220711;0.0123800;0.0125450;0.0122300;0.0124400;49700000
TGKD;D;20220712;0.0124950;0.0124950;0.0122900;0.0123000;32200000
TGKD;D;20220713;0.0123050;0.0124750;0.0122000;0.0124600;74200000
TGKD;D;20220714;0.0124550;0.0124950;0.0122700;0.0123150;108900000
TGKD;D;20220715;0.0124200;0.0124950;0.0122850;0.0123550;18400000
TGKD;D;20220718;0.0123400;0.0124950;0.0123400;0.0124750;29000000
TGKD;D;20220719;0.0124850;0.0124900;0.0123850;0.0124400;27000000
TGKD;D;20220720;0.0123600;0.0125550;0.0122450;0.0124400;108100000
TGKD;D;20220721;0.0122250;0.0126000;0.0122250;0.0124900;45700000
TGKD;D;20220722;0.0125150;0.0126500;0.0122750;0.0125700;127500000
TGKD;D;20220725;0.0125550;0.0128000;0.0123800;0.0126450;91500000
TGKD;D;20220726;0.0126300;0.0127000;0.0125300;0.0126300;73300000
TGKD;D;20220727;0.0126250;0.0126750;0.0125700;0.0125700;22500000
TGKD;D;20220728;0.0126550;0.0127550;0.0126100;0.0126550;74000000
TGKD;D;20220729;0.0126400;0.0127800;0.0126400;0.0127000;50800000
TGKD;D;20220801;0.0126100;0.0128000;0.0126050;0.0127050;139000000
TGKD;D;20220802;0.0127000;0.0127000;0.0126650;0.0126850;22000000
TGKD;D;20220803;0.0126350;0.0126850;0.0126150;0.0126350;59200000
TGKD;D;20220804;0.0126550;0.0126850;0.0126200;0.0126450;34800000
TGKD;D;20220805;0.0126800;0.0126950;0.0126150;0.0126900;81200000
TGKD;D;20220808;0.0126900;0.0126950;0.0126550;0.0126900;18700000
TGKD;D;20220809;0.0126950;0.0126950;0.0126200;0.0126350;52500000
TGKD;D;20220810;0.0126400;0.0126650;0.0126150;0.0126600;27700000
TGKD;D;20220811;0.0126850;0.0128000;0.0126150;0.0127050;417700000
TGKD;D;20220812;0.0131100;0.0131150;0.0126800;0.0127250;119800000
